query,pandas_function_call
Find the sum of profit,df['profit'].sum()
Show relationship of sales,df.corr()['sales']
Compute MAD for sales,df['sales'].mad()
Compute kurtosis for age,df['age'].kurt()
Get unique values of sales,df['sales'].unique()
Get cummax for revenue,df['revenue'].cummax()
Compute MAD for age,df['age'].mad()
Find covariance of score,df.cov()['score']
Get middle value of profit,df['profit'].median()
Find mode of weight,df['weight'].mode()
Compute running max for temperature,df['temperature'].cummax()
Get total of revenue,df['revenue'].sum()
Compute median for price,df['price'].median()
Count unique entries for age,df['age'].nunique()
Compute mean for price,df['price'].mean()
Find difference in revenue,df['revenue'].diff()
Compute variance for price,df['price'].var()
Compute MAD for price,df['price'].mad()
Get quantile for score,df['score'].quantile(0.5)
Compute skew for revenue,df['revenue'].skew()
Find mean absolute deviation of temperature,df['temperature'].mad()
Compute correlation for expenses,df.corr()['expenses']
Find maximum of sales,df['sales'].max()
Find number of records for temperature,df['temperature'].count()
Compute variance for age,df['age'].var()
Show kurtosis of age,df['age'].kurt()
Get the max of profit,df['profit'].max()
Compute std for expenses,df['expenses'].std()
Find cumulative product of sales,df['sales'].cumprod()
Compute mode for expenses,df['expenses'].mode()
Get unique values of weight,df['weight'].unique()
Total count for profit,df['profit'].count()
Compute running product for height,df['height'].cumprod()
Show kurtosis of price,df['price'].kurt()
Get cummin for sales,df['sales'].cummin()
Show statistics for age,df['age'].describe()
Compute mean for age,df['age'].mean()
Compute pct change for price,df['price'].pct_change()
Compute covariance for sales,df.cov()['sales']
Describe values of score,df['score'].describe()
Find covariance of weight,df.cov()['weight']
Compute mean for score,df['score'].mean()
Show highest value for sales,df['sales'].max()
Find covariance of profit,df.cov()['profit']
Show lowest value for score,df['score'].min()
Find mode of expenses,df['expenses'].mode()
Compute correlation for score,df.corr()['score']
Show kurtosis of temperature,df['temperature'].kurt()
Find the average of weight,df['weight'].mean()
Total count for height,df['height'].count()
Get variation in sales,df['sales'].std()
Get cummax for price,df['price'].cummax()
Find percentage change in score,df['score'].pct_change()
Show mean of price,df['price'].mean()
Get total of price,df['price'].sum()
Find mean absolute deviation of revenue,df['revenue'].mad()
Compute running total for profit,df['profit'].cumsum()
Find cumulative product of temperature,df['temperature'].cumprod()
Show mean of price,df['price'].mean()
Find correlation with profit,df.corr()['profit']
Get variation in height,df['height'].std()
Get quantile for temperature,df['temperature'].quantile(0.5)
Compute std for price,df['price'].std()
Get cumprod for sales,df['sales'].cumprod()
Show distinct entries for height,df['height'].unique()
Compute running total for revenue,df['revenue'].cumsum()
Total count for weight,df['weight'].count()
Find median quantile of price,df['price'].quantile(0.5)
Get cummin for age,df['age'].cummin()
Find skewness of sales,df['sales'].skew()
Find number of unique values in expenses,df['expenses'].nunique()
Get summary of height,df['height'].describe()
Find the average of expenses,df['expenses'].mean()
Get unique values of temperature,df['temperature'].unique()
Find standard deviation of weight,df['weight'].std()
Find the average of expenses,df['expenses'].mean()
Get the min of age,df['age'].min()
Find median quantile of height,df['height'].quantile(0.5)
Get cummin for price,df['price'].cummin()
Calculate sum for sales,df['sales'].sum()
Find number of unique values in score,df['score'].nunique()
Compute running max for price,df['price'].cummax()
Find percentage change in weight,df['weight'].pct_change()
Find value counts of height,df['height'].value_counts()
Find variance of price,df['price'].var()
Show distinct entries for profit,df['profit'].unique()
Find median quantile of price,df['price'].quantile(0.5)
Get cumsum for weight,df['weight'].cumsum()
Find standard deviation of temperature,df['temperature'].std()
Count unique entries for sales,df['sales'].nunique()
Compute pct change for profit,df['profit'].pct_change()
Find the average of revenue,df['revenue'].mean()
Find number of unique values in weight,df['weight'].nunique()
Get the max of price,df['price'].max()
Describe values of expenses,df['expenses'].describe()
Get MAD of height,df['height'].mad()
Compute median for sales,df['sales'].median()
Find the median of revenue,df['revenue'].median()
Find number of unique values in expenses,df['expenses'].nunique()
Compute skew for profit,df['profit'].skew()
Get MAD of revenue,df['revenue'].mad()
Find percentage change in profit,df['profit'].pct_change()
Find median quantile of weight,df['weight'].quantile(0.5)
Show highest value for expenses,df['expenses'].max()
Find standard deviation of revenue,df['revenue'].std()
Find standard deviation of revenue,df['revenue'].std()
Compute percentile for height,df['height'].quantile(0.5)
Get total of weight,df['weight'].sum()
Find number of records for score,df['score'].count()
Show lowest value for sales,df['sales'].min()
Compute running total for score,df['score'].cumsum()
Get the min of sales,df['sales'].min()
Get middle value of revenue,df['revenue'].median()
Count unique entries for temperature,df['temperature'].nunique()
Compute mean for score,df['score'].mean()
Count unique entries for profit,df['profit'].nunique()
Get MAD of revenue,df['revenue'].mad()
Show lowest value for sales,df['sales'].min()
Show highest value for price,df['price'].max()
Find the average of temperature,df['temperature'].mean()
Get diff for expenses,df['expenses'].diff()
Get quantile for revenue,df['revenue'].quantile(0.5)
Find skewness of sales,df['sales'].skew()
Find maximum of sales,df['sales'].max()
Find mean absolute deviation of height,df['height'].mad()
Find covariance of temperature,df.cov()['temperature']
Show statistics for revenue,df['revenue'].describe()
Compute variance for height,df['height'].var()
Find number of unique values in weight,df['weight'].nunique()
Find difference in age,df['age'].diff()
Calculate sum for sales,df['sales'].sum()
Compute std for score,df['score'].std()
Get the min of age,df['age'].min()
Find standard deviation of price,df['price'].std()
Get most frequent value in revenue,df['revenue'].mode()
Get summary of score,df['score'].describe()
Show mean of height,df['height'].mean()
Find cumulative product of height,df['height'].cumprod()
Show kurtosis of weight,df['weight'].kurt()
Find covariance of temperature,df.cov()['temperature']
Describe values of revenue,df['revenue'].describe()
Compute running max for sales,df['sales'].cummax()
Get summary of age,df['age'].describe()
Compute running product for sales,df['sales'].cumprod()
Compute MAD for expenses,df['expenses'].mad()
Get cummax for weight,df['weight'].cummax()
Get the min of score,df['score'].min()
Find cumulative min of age,df['age'].cummin()
Compute correlation for profit,df.corr()['profit']
Compute running total for age,df['age'].cumsum()
Compute mean for expenses,df['expenses'].mean()
Get variation in price,df['price'].std()
Show distinct entries for age,df['age'].unique()
Find percentage change in weight,df['weight'].pct_change()
Find number of unique values in revenue,df['revenue'].nunique()
Find the median of revenue,df['revenue'].median()
Get MAD of expenses,df['expenses'].mad()
Get statistical variance of sales,df['sales'].var()
Get summary of price,df['price'].describe()
Get variation in score,df['score'].std()
Get cummin for score,df['score'].cummin()
Get cummin for score,df['score'].cummin()
Find covariance of expenses,df.cov()['expenses']
Show skew value for expenses,df['expenses'].skew()
Show mean of height,df['height'].mean()
Compute running total for expenses,df['expenses'].cumsum()
Get summary of revenue,df['revenue'].describe()
Get total of sales,df['sales'].sum()
Compute variance for profit,df['profit'].var()
Find the average of sales,df['sales'].mean()
Find difference in price,df['price'].diff()
Get cummin for temperature,df['temperature'].cummin()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Find kurtosis of temperature,df['temperature'].kurt()
Find cumulative max of temperature,df['temperature'].cummax()
Get cummax for temperature,df['temperature'].cummax()
Get diff for sales,df['sales'].diff()
Show percent change of expenses,df['expenses'].pct_change()
Find mean absolute deviation of height,df['height'].mad()
Get diff for weight,df['weight'].diff()
Get quantile for temperature,df['temperature'].quantile(0.5)
Show skew value for temperature,df['temperature'].skew()
Show covariance of weight,df.cov()['weight']
Show statistics for sales,df['sales'].describe()
Compute running product for weight,df['weight'].cumprod()
Find median quantile of height,df['height'].quantile(0.5)
Compute running product for weight,df['weight'].cumprod()
Find number of unique values in sales,df['sales'].nunique()
Total count for height,df['height'].count()
Count unique entries for score,df['score'].nunique()
Show highest value for age,df['age'].max()
Compute pct change for score,df['score'].pct_change()
Total count for expenses,df['expenses'].count()
Get cummin for expenses,df['expenses'].cummin()
Find value counts of sales,df['sales'].value_counts()
Compute running total for profit,df['profit'].cumsum()
Show lowest value for profit,df['profit'].min()
Find difference in height,df['height'].diff()
Find standard deviation of sales,df['sales'].std()
Get the max of score,df['score'].max()
Compute variance for expenses,df['expenses'].var()
Show percent change of profit,df['profit'].pct_change()
Get nunique of price,df['price'].nunique()
